ID,uri,color
1,gs://bq-mm-benchmark-mmqa-images/0a6ab6bb33d4679c7acec25b2a7a1860.jpg,Not applicable
5,gs://bq-mm-benchmark-mmqa-images/0a8323480f0ef71d2096efacd8ca1742.jpg,No logo is visible in the image.
4,gs://bq-mm-benchmark-mmqa-images/0a7fd4894ca972346066541d16faea1b.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0db17777402b71b0fb0172ccbcd0e3a4.jpg,Gold
6,gs://bq-mm-benchmark-mmqa-images/0ada4227e74007a4aca07074bf256a6d.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0b7b1e2bb45373134a4c1e94dd7ee85e.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/5588a1833b8fa95fe1b0ed520e447d64.jpg,There is no logo visible in the image.
4,gs://bq-mm-benchmark-mmqa-images/0e55b397c7770893544eb92ddc680b23.jpg,Gold
1,gs://bq-mm-benchmark-mmqa-images/0d4a9de9497f50ca68f84fa967b41fb2.jpg,Gray
6,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0c8a2cdb2c772fe8c11973c1823a48fe.jpg,"The image is black and white, so it is impossible to determine the color of the logo."
4,gs://bq-mm-benchmark-mmqa-images/0d5b079fe9cca68ac73b3c8d3ed11d96.jpg,White.
11,gs://bq-mm-benchmark-mmqa-images/0a9b21fb6063bf4260d2620fe2ab567a.jpg,Blue
6,gs://bq-mm-benchmark-mmqa-images/0a8323480f0ef71d2096efacd8ca1742.jpg,There is no logo visible in the image.
6,gs://bq-mm-benchmark-mmqa-images/0a9a20c1ee2a00eb504b22ef77b6dd31.jpg,Black and white.
6,gs://bq-mm-benchmark-mmqa-images/0c323c8f9d0aff3614ce16bd927a0061.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0c40c902d12029635fb05ef55769fad4.jpg,There is no discernible logo in the image.
11,gs://bq-mm-benchmark-mmqa-images/0c40c902d12029635fb05ef55769fad4.jpg,There is no logo visible in the image.
1,gs://bq-mm-benchmark-mmqa-images/0e623e02e1d4528ef592ad1a8e5b170b.jpg,Black
5,gs://bq-mm-benchmark-mmqa-images/0a78c5f6c9e1601b21c0e6cc7d4a13ed.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0c323c8f9d0aff3614ce16bd927a0061.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0c7d52ade71694ced9bb64864d32c7be.jpg,Blue
4,gs://bq-mm-benchmark-mmqa-images/00c604a9243ff81e5f429f7c23354b8e.jpg,No logo available.
1,gs://bq-mm-benchmark-mmqa-images/0aaac3d9dc711c855728f53ed422f61a.jpg,The image provided does not contain a visible logo.
11,gs://bq-mm-benchmark-mmqa-images/0c916c4ffe72838c1f3e4adc68c42015.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0c1e7b43caf99b86bd3db14061c8cae3.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0e7a227da7e96c1b2db30e3817dd4300.jpg,Black
6,gs://bq-mm-benchmark-mmqa-images/0a259908f0d108cd11a98a884a10b33c.jpg,Black
5,gs://bq-mm-benchmark-mmqa-images/0d7ba799e52bcfdead9a7831b84eb1ce.jpg,N/A
6,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg,Silver
5,gs://bq-mm-benchmark-mmqa-images/0b05bc867cb47ea8b827e7effe7e08e5.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0aaac3d9dc711c855728f53ed422f61a.jpg,There is no logo visible in the image.
6,gs://bq-mm-benchmark-mmqa-images/0c21c34914735826da603a2cfc57eb43.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0bccae18d1bc23b9e560891520b2c3dd.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0a46a0d1a9d47aeb7f049f8460489929.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0a9b21fb6063bf4260d2620fe2ab567a.jpg,Blue
11,gs://bq-mm-benchmark-mmqa-images/0c9b4d169ebf6db45752c66ad16f568c.jpg,Blue
1,gs://bq-mm-benchmark-mmqa-images/0b66d210074be5881fea3324aacb6749.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/0e4fc151817888f808b35fae241e907e.jpg,Black and white
4,gs://bq-mm-benchmark-mmqa-images/0aaac3d9dc711c855728f53ed422f61a.jpg,No logo is visible in the image.
5,gs://bq-mm-benchmark-mmqa-images/0ac83693b42f451f27c992a887c38887.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0be0377b7ca314045eaadb4a16f0f93c.jpg,Multi-color
6,gs://bq-mm-benchmark-mmqa-images/0c078d3517c917ac586f1d79f0f7575c.jpg,Purple
1,gs://bq-mm-benchmark-mmqa-images/0e235fbbbed4e5d19b51f8fd91e027a4.jpg,Gold
6,gs://bq-mm-benchmark-mmqa-images/0a16c5cfc94d596627c05f152d2c1122.jpg,No logo is visible.
5,gs://bq-mm-benchmark-mmqa-images/0ba22c5e934592d718f1ff9087bf6161.jpg,There is no logo visible in the image.
5,gs://bq-mm-benchmark-mmqa-images/0e919d605b0ca87313cf90c3a6ecbec3.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0aac49ab17145acc4c0e6ecd9dc4d987.jpg,No logo present.
11,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0ac19dc955f7c2bb2c7871000d2ea63e.jpg,Not applicable
5,gs://bq-mm-benchmark-mmqa-images/0b66d210074be5881fea3324aacb6749.jpg,White
1,gs://bq-mm-benchmark-mmqa-images/0b896bf6648d7daabfed0f5ea523139a.jpg,Gray
5,gs://bq-mm-benchmark-mmqa-images/0a408d1fa77bd80284d7056dc79a8721.jpg,Yellow
11,gs://bq-mm-benchmark-mmqa-images/0e235fbbbed4e5d19b51f8fd91e027a4.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/00e045cfe25f58c8ccc98fb93bde189d.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0c916c4ffe72838c1f3e4adc68c42015.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0c4403467fc2eb3031c1506744601d7d.jpg,There is no logo visible in the image. The image is completely black.
4,gs://bq-mm-benchmark-mmqa-images/0c078d3517c917ac586f1d79f0f7575c.jpg,Purple
1,gs://bq-mm-benchmark-mmqa-images/0d8783b46c0702444093ab357626f8e0.jpg,None
1,gs://bq-mm-benchmark-mmqa-images/0e588abf26b1fba7d94e502ad20fd5f4.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0b66d210074be5881fea3324aacb6749.jpg,White
11,gs://bq-mm-benchmark-mmqa-images/0d0bd1b0fbf1aea160bc0eb67cb0e840.jpg,Black
6,gs://bq-mm-benchmark-mmqa-images/0debf0ad932954065786ddb5232f2fde.jpg,Black
4,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0c0fbc00f99235ec607b16e17f10979f.jpg,Red
11,gs://bq-mm-benchmark-mmqa-images/0df3be6f1bc935c171a9583bdb399211.jpg,There is no logo present in the image.
6,gs://bq-mm-benchmark-mmqa-images/0cf1c096b3b8ed26c0ee28078e68d693.jpg,Not applicable
5,gs://bq-mm-benchmark-mmqa-images/0ada4227e74007a4aca07074bf256a6d.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg,Silver
5,gs://bq-mm-benchmark-mmqa-images/0e3bd1f5e63abf955b3f902bdc0add68.jpg,N/A
11,gs://bq-mm-benchmark-mmqa-images/0d4a9de9497f50ca68f84fa967b41fb2.jpg,Black
1,gs://bq-mm-benchmark-mmqa-images/0c2da2a740161136aaf915beb6c19106.jpg,White
12,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0c786f46b32e1008b1ae739bdbf5fe4e.jpg,Yellow
4,gs://bq-mm-benchmark-mmqa-images/0a13134ca556ed97736997d990db5d1b.jpg,Gold
11,gs://bq-mm-benchmark-mmqa-images/0a6ab6bb33d4679c7acec25b2a7a1860.jpg,Not applicable
4,gs://bq-mm-benchmark-mmqa-images/0d4e2955959ed0404bf8d869c66f85d9.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0c141eb84b21daae6c6062bda51fd80d.jpg,No logo present.
4,gs://bq-mm-benchmark-mmqa-images/0ada4227e74007a4aca07074bf256a6d.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0d188751b763872b84fbe109741b86a3.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0aac49ab17145acc4c0e6ecd9dc4d987.jpg,No logo present.
5,gs://bq-mm-benchmark-mmqa-images/0a46a0d1a9d47aeb7f049f8460489929.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/0d0bd1b0fbf1aea160bc0eb67cb0e840.jpg,Orange
1,gs://bq-mm-benchmark-mmqa-images/0bea7385faf531b75fbd36e7769ee8ea.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0e5f3e283676560d6d04a79c9d1d8b4e.jpg,Blue
6,gs://bq-mm-benchmark-mmqa-images/0d7ba799e52bcfdead9a7831b84eb1ce.jpg,"The image provided is in black and white, so the color of any logo (if present) cannot be determined."
1,gs://bq-mm-benchmark-mmqa-images/0ae33ebeef3b42eb5d00d948a54e08d7.jpg,Orange
4,gs://bq-mm-benchmark-mmqa-images/0a8338eedd3ebeced9ad26a9bb98a642.jpg,Maroon and Green
1,gs://bq-mm-benchmark-mmqa-images/0d2e09edf3ab74cad451615214b94d6d.jpg,Red
11,gs://bq-mm-benchmark-mmqa-images/0c4343c6a5d23bda1683dfcef93bed91.jpg,Yellow
1,gs://bq-mm-benchmark-mmqa-images/0d0bd1b0fbf1aea160bc0eb67cb0e840.jpg,Orange
6,gs://bq-mm-benchmark-mmqa-images/0af228e1aaedd5e1eb72a73dd8985d78.jpg,White
11,gs://bq-mm-benchmark-mmqa-images/0c799fb88d645302e363c03b68a608ce.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0aaac3d9dc711c855728f53ed422f61a.jpg,Not applicable.
4,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0debf0ad932954065786ddb5232f2fde.jpg,Not applicable
11,gs://bq-mm-benchmark-mmqa-images/0b256915936f8a7be8fbd9292104763b.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0bfa5921037a2dbb8301a98a22448f0f.jpg,Gold
5,gs://bq-mm-benchmark-mmqa-images/0a9b21fb6063bf4260d2620fe2ab567a.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg,Yellow
11,gs://bq-mm-benchmark-mmqa-images/0a90891a0035fff9b35ddff1a9f1e736.jpg,"The image you sent is a black and white photograph of a person, not a logo. Therefore, there is no logo color to identify."
1,gs://bq-mm-benchmark-mmqa-images/0a8338eedd3ebeced9ad26a9bb98a642.jpg,Dark Red and Dark Green
5,gs://bq-mm-benchmark-mmqa-images/0a16c5cfc94d596627c05f152d2c1122.jpg,Not applicable
11,gs://bq-mm-benchmark-mmqa-images/0bfaa418914214344c69f91bff67403d.jpg,Green
1,gs://bq-mm-benchmark-mmqa-images/0a3631e7e4c67a56aa7b15e84d451e62.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/0d8b82c37d0589c35d023de04cef5d40.jpg,Red
11,gs://bq-mm-benchmark-mmqa-images/0cf5636ed39f1af90dc53df7ea6ffe5b.jpg,Yellow
4,gs://bq-mm-benchmark-mmqa-images/0c186febf77f05fd6785735d6e8c6ff9.jpg,White
8,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0c8eb9cd33e9447edabf369bf0609f04.jpg,Yellow
5,gs://bq-mm-benchmark-mmqa-images/0d4e2955959ed0404bf8d869c66f85d9.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0ba22c5e934592d718f1ff9087bf6161.jpg,There is no logo in the image.
1,gs://bq-mm-benchmark-mmqa-images/0c40c902d12029635fb05ef55769fad4.jpg,No logo available.
11,gs://bq-mm-benchmark-mmqa-images/0a3833c734bc95406f7fe5ecf0657b51.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0a86139ce572199fc2407a51d137639c.jpg,Black and White
6,gs://bq-mm-benchmark-mmqa-images/0a408d1fa77bd80284d7056dc79a8721.jpg,Yellow
6,gs://bq-mm-benchmark-mmqa-images/0a259e302f78dde3fca7cacc3e0c64d1.jpg,Red
11,gs://bq-mm-benchmark-mmqa-images/0d2e09edf3ab74cad451615214b94d6d.jpg,Pink
5,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0e3bd1f5e63abf955b3f902bdc0add68.jpg,Not applicable
11,gs://bq-mm-benchmark-mmqa-images/0c8a2cdb2c772fe8c11973c1823a48fe.jpg,"The original image is in black and white, so the color of the logo is not discernible."
11,gs://bq-mm-benchmark-mmqa-images/0bc2d39861a25d74b8b734246304726d.jpg,Black
5,gs://bq-mm-benchmark-mmqa-images/0c9c4cb1548b3729d791e3ccb356ad6d.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/0a7ad8727ebeccfc16a44c9b68d4d30e.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0c4403467fc2eb3031c1506744601d7d.jpg,Not applicable
1,gs://bq-mm-benchmark-mmqa-images/0df3be6f1bc935c171a9583bdb399211.jpg,There is no logo present in the image.
5,gs://bq-mm-benchmark-mmqa-images/0ac19dc955f7c2bb2c7871000d2ea63e.jpg,There is no logo visible in the image.
6,gs://bq-mm-benchmark-mmqa-images/0bba79d4eec60537f1abb64c624e8341.jpg,Not applicable.
11,gs://bq-mm-benchmark-mmqa-images/0ae33ebeef3b42eb5d00d948a54e08d7.jpg,Orange
11,gs://bq-mm-benchmark-mmqa-images/0e3f1257ff395ce5b4e9edbb5b769071.jpg,No logo is visible in the image.
6,gs://bq-mm-benchmark-mmqa-images/0bf8dc8a2ea59458ce518928642251a6.jpg,Not applicable
5,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg,Red
11,gs://bq-mm-benchmark-mmqa-images/0bea7385faf531b75fbd36e7769ee8ea.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0e919d605b0ca87313cf90c3a6ecbec3.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0c89ca3bb811f418c54ced12ba79dbea.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0d4e2955959ed0404bf8d869c66f85d9.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0ac19dc955f7c2bb2c7871000d2ea63e.jpg,Not applicable
6,gs://bq-mm-benchmark-mmqa-images/0c40c902d12029635fb05ef55769fad4.jpg,There is no visible logo in the image.
5,gs://bq-mm-benchmark-mmqa-images/0c078d3517c917ac586f1d79f0f7575c.jpg,Purple
5,gs://bq-mm-benchmark-mmqa-images/0bf9765eedd342330a29038a7f8c3542.jpg,Yellow
1,gs://bq-mm-benchmark-mmqa-images/0e3f1257ff395ce5b4e9edbb5b769071.jpg,Not applicable
5,gs://bq-mm-benchmark-mmqa-images/0c141eb84b21daae6c6062bda51fd80d.jpg,No logo available.
5,gs://bq-mm-benchmark-mmqa-images/0c0fbc00f99235ec607b16e17f10979f.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0dc8667808e511ec3d525aff0e221b93.jpg,White
4,gs://bq-mm-benchmark-mmqa-images/5588a1833b8fa95fe1b0ed520e447d64.jpg,N/A
4,gs://bq-mm-benchmark-mmqa-images/00a5d23fa78de769d00d2ced7d067dbf.jpg,Not available
1,gs://bq-mm-benchmark-mmqa-images/0d4e2955959ed0404bf8d869c66f85d9.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0c7d52ade71694ced9bb64864d32c7be.jpg,No logo is visible in the image.
11,gs://bq-mm-benchmark-mmqa-images/0c186febf77f05fd6785735d6e8c6ff9.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0dc8667808e511ec3d525aff0e221b93.jpg,White
1,gs://bq-mm-benchmark-mmqa-images/0bc2d39861a25d74b8b734246304726d.jpg,Black
5,gs://bq-mm-benchmark-mmqa-images/0cb5e772ffd753bd3df08aa157692540.jpg,White
11,gs://bq-mm-benchmark-mmqa-images/0c82dd9e77b50088cd2f6ed6c223169c.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0c8eb9cd33e9447edabf369bf0609f04.jpg,Yellow
1,gs://bq-mm-benchmark-mmqa-images/0a9b21fb6063bf4260d2620fe2ab567a.jpg,Blue
4,gs://bq-mm-benchmark-mmqa-images/0a9b21fb6063bf4260d2620fe2ab567a.jpg,Blue
11,gs://bq-mm-benchmark-mmqa-images/0b896bf6648d7daabfed0f5ea523139a.jpg,Gray
6,gs://bq-mm-benchmark-mmqa-images/0a78c5f6c9e1601b21c0e6cc7d4a13ed.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0c799fb88d645302e363c03b68a608ce.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0bfaa418914214344c69f91bff67403d.jpg,Green
11,gs://bq-mm-benchmark-mmqa-images/0b66d210074be5881fea3324aacb6749.jpg,White
11,gs://bq-mm-benchmark-mmqa-images/0d03699bfc51444df6ca45c9f7566a55.jpg,Blue
4,gs://bq-mm-benchmark-mmqa-images/0b14a3718339734c11e2c147379b2611.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0d2bf861d46be4fb513858da7d0692a3.jpg,White
1,gs://bq-mm-benchmark-mmqa-images/0c799fb88d645302e363c03b68a608ce.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0bba79d4eec60537f1abb64c624e8341.jpg,N/A
11,gs://bq-mm-benchmark-mmqa-images/0dd82dd6dec70831338aff8f5187449c.jpg,Black
1,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg,White
1,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0c0d07c53688b008e74d643157b76c57.jpg,Red
11,gs://bq-mm-benchmark-mmqa-images/0aac49ab17145acc4c0e6ecd9dc4d987.jpg,Grey
1,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg,Silver
1,gs://bq-mm-benchmark-mmqa-images/0bfaa418914214344c69f91bff67403d.jpg,Green
11,gs://bq-mm-benchmark-mmqa-images/42c88eafedfab5203c72e1d2ec1c2f37.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0c9b4d169ebf6db45752c66ad16f568c.jpg,Gold
5,gs://bq-mm-benchmark-mmqa-images/0c21c34914735826da603a2cfc57eb43.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0dd6c8a4810a044ceeb7e21afdc36126.jpg,No logo is visible in the image.
